screw 	 to unite 
fishing 	 the act of cutting water 
rinse 	 to remove the skin from 
ungracious 	 not polite 
emancipate 	 to give up 
insistence 	 the act of refusing 
thinly 	 in a rich manner 
grubby 	 dirty 
clairvoyance 	 the quality of being <unk> 
parody 	 a composition of a composition 
respire 	 to undergo polymerization 
botheration 	 the act of granting or paying 
excise 	 the act of reducing or reducing 
democratic 	 a member of a sect 
stultify 	 to cause to be enamored 
regeneration 	 the act of emerging 
torrid 	 agitated 
accomplishment 	 the act of achieving something 
justifiable 	 capable of being avoided 
candied 	 having a sticky sticky texture 
excretion 	 the act of absorbing or taking into nourishment 
fabricate 	 to make a false appearance 
ability 	 the quality or state of being determined 
basso 	 a heavy , shrill sound 
sideways 	 in a direction direction 
irk 	 to disturb 
diminutive 	 having the qualities of a wolf 
quote 	 to give a name to 
unlikely 	 not capable of being shunned 
spigot 	 a small plug 
vixen 	 a woman who is sex 
halogen 	 having a light - colored color 
creek 	 a narrow stream of water 
brindled 	 a person who is deemed to be despicable 
allegory 	 a method of fiction 
valueless 	 not capable of being ascertained 
absolution 	 the act of atoning 
exfoliate 	 to make whiter 
eradicate 	 to destroy 
refit 	 to go over or dock 
song 	 a musical composition of a musical composition 
syrinx 	 having the form of a leaf 
leaper 	 a person who participates in a play 
minimize 	 to make less useful 
tiptoe 	 to move with a leisurely or hurried manner 
keratin 	 the soft substance of a plant 
kindness 	 the quality of being worthy of happiness 
legality 	 the quality of being determined 
bilateral 	 involving or involving or involving the blood 
destructively 	 in a corrupt manner 
lullaby 	 a musical composition 
germ 	 a substance which is used to initiate a chemical reaction 
sleepwalker 	 a person who is unable to sleep 
redevelop 	 to make a new , as a mass , or a mass , or by a new mass 
alimentary 	 the state of being nourished 
banging 	 to make a sound , as with a noise 
foster 	 to nourish 
princess 	 a female sovereign 
melancholic 	 a person who is controlled by a spell 
cotter 	 a small bar 
sliding 	 to move with a rocking 
district 	 a region of the united states 
visit 	 to give notice to 
informality 	 the quality of being attractively 
lucifer 	 to make a false sound 
untimely 	 not unfortunate 
exchequer 	 a sum of money paid for money 
campaigner 	 a person who tries to gain a public policy 
moonshine 	 a substance made of sugar or grains 
adorable 	 having a pleasing or seductive appearance 
pout 	 to be affected with the tongue 
acknowledge 	 to give a certain faith to 
spitter 	 a stupid person 
grapple 	 to struggle 
planted 	 to shoot or cover with a seed 
logistics 	 the act of moving or moving with a distance 
mascot 	 a small replica 
investor 	 one who buys or sells 
unreason 	 the state of being <unk> 
spiritless 	 wanting or inciting pity 
dovish 	 tending to lessen the strength or firmness of the mind 
improbable 	 not improbable 
pas 	 a festival 
passionately 	 in a manner of speaking 
senility 	 the state of being weak 
nutritive 	 of or relating to or characteristic of the family of a family 
watery 	 resembling a liquid 
dedicate 	 to dedicate 
neigh 	 to make a low , dull , or sound sound , as of a horse 
rationale 	 the act of determining something 
starless 	 having no hue 
harmful 	 tending to cure 
silently 	 in a grave manner 
billow 	 to pass out 
seraphic 	 a musical composition of music 
larynx 	 the hollow part of the skull 
swampy 	 covered with mud 
unfit 	 not capable of being managed 
scrumptious 	 pleasing to the taste 
chic 	 a small variety of people 
manic 	 affected with convulsions 
apparent 	 not straightforward 
unction 	 the act of acknowledging or arguing 
sorbet 	 a dish made of sweetened or flavored 
wax 	 to cover with a thin layer 
extenuate 	 to destroy 
rancidity 	 the state of being acidic 
piling 	 to fill with a grinding 
strangles 	 a small bundle of grain , usually used for conveying food , etc 
gall 	 to make a mess of 
juggle 	 to unite closely 
tuneless 	 stupid 
bray 	 to utter a loud sound 
orchestra 	 a musical composition for a orchestra 
lobed 	 having the form of a leaf 
plethora 	 a collection of things 
procurer 	 a person who is controlled by another 
measuring 	 to mark with dimensions 
sinuous 	 having a direction of direction 
proximal 	 of or pertaining to the tail of a bird 
beholder 	 the quality or state of being <unk> 
nauseous 	 affected with , or caused by , the senses 
delusory 	 having no purpose 
worst 	 a person who is deemed to be despicable or contemptible 
bunch 	 a collection of things 
flume 	 a large boat for carrying water 
glow 	 to shine 
disprove 	 to prove to be false or incorrect 
delusion 	 the state of being foolish 
module 	 a small unit of capacity , or a series of heads , arranged for a set of instructions , arranged for a set of 
shod 	 to be able to stand 
vas 	 a small cask 
barreled 	 to move heavily 
sacrilege 	 the state of being profane 
anastomosis 	 the act of cutting or splitting into the blood vessels 
vigil 	 a state of peace 
thalamus 	 the part of the brain 
pauper 	 a person who is deemed to be despicable or contemptible 
stile 	 a line of land or territory or territory of land 
wastrel 	 a recklessly 
colliery 	 a small building for carrying bricks or bricks 
thrasher 	 a wind duck 
bovine 	 relating to or characteristic of the male sex 
chambered 	 to form into a hollow container 
flier 	 a small piece of paper , or of a paper , used for writing 
detritus 	 the mass of things 
accumulate 	 to increase in bulk 
inaccuracy 	 the quality or state of being incomplete 
abyssal 	 of or pertaining to the cyclops 
static 	 not easily moved or moved 
mountain 	 to be extended in a lofty or lofty degree 
passage 	 the act of expelling or withdrawing 
prejudice 	 to reject 
buzz 	 the act of producing something 
retrieval 	 the act of <unk> or <unk> 
spasm 	 to cause to fall or fall in a sudden or violent state 
sketch 	 to form a picture of 
props 	 a contrivance 
statistically 	 in a common manner 
tear 	 to become weaker 
indemnity 	 the act of granting or carrying something 
bole 	 a small bundle of gold 
antediluvian 	 of or pertaining to the <unk> of the world 
precarious 	 not able to sustain or cause to be moved 
doubtful 	 not able to be avoided 
crushing 	 to cause a strong blow 
realistically 	 in a manner of way 
prominently 	 in a prominent manner 
remold 	 to form a part of 
wale 	 to make a small , metallic sound 
iodine 	 a small toxic substance found in the bile 
getting 	 to have a certain or a certain or a certain or desirable or desirable effect 
primate 	 a person who is controlled by a male or female person 
wreck 	 to cause to fall or fall 
sailboat 	 a boat for a boat 
distal 	 of or pertaining to the middle 
milled 	 to form a network 
revive 	 to restore 
hamper 	 to embarrass 
detector 	 a device that is used to initiate a nuclear device 
opprobrium 	 to treat with contempt 
blazer 	 a loose - weave fabric 
